treatment,location,site,replicate,ph,do,phosphate,nitrogen,ec,temp,turbidity
downstream,1,Site 1,1,7.35,6.39,0.39,1.2,511,16.8,90
downstream,1,Site 1,2,7.55,6.41,0.41,1.5,510,16.7,92
downstream,1,Site 1,3,7.22,6.38,0.42,1.3,506,16.6,93
downstream,2,Site 2,1,7.31,6.24,0.34,1.1,539,16.4,91
downstream,2,Site 2,2,7.33,6.25,0.35,1.2,530,16.5,90
downstream,2,Site 2,3,7.25,6.23,0.37,1.4,543,16.8,92
downstream,3,Site 3,1,7.36,6.33,0.29,1.3,520,16.9,93
downstream,3,Site 3,2,7.37,6.35,0.36,1.1,525,18.7,89
downstream,3,Site 3,3,7.33,6.31,0.4,1.4,530,17,95
upstream,4,Site 4,1,7.34,10.21,0.15,0.4,462,16.4,92
upstream,4,Site 4,2,7.44,10.25,0.11,0.4,460,16.5,90
upstream,4,Site 4,3,7.23,10.23,0.14,0.5,467,16.3,91
upstream,5,Site 5,1,7.49,9.81,0.11,0.5,468,17.4,93
upstream,5,Site 5,2,7.39,9.95,0.09,0.5,490,17.6,90
upstream,5,Site 5,3,7.44,9.87,0.12,0.3,470,17.1,95
upstream,6,Site 6,1,7.5,9.29,0.13,0.3,452,17.1,90
upstream,6,Site 6,2,7.35,9.52,0.11,0.4,460,16.8,91
upstream,6,Site 6,3,7.61,9.44,0.14,0.4,457,16.7,89
